Country,Code,Year,Primary energy consumption per capita (kWh/person)
Argentina,ARG,2000,18849.81
Argentina,ARG,2001,18210.12
Argentina,ARG,2002,17275.256
Argentina,ARG,2003,18326.521
Argentina,ARG,2004,19261.457
Argentina,ARG,2005,20232.844
Argentina,ARG,2006,21038.723
Argentina,ARG,2007,21708.37
Argentina,ARG,2008,21780.38
Argentina,ARG,2009,20954.271
Argentina,ARG,2010,21507.703
Argentina,ARG,2011,21894.867
Argentina,ARG,2012,22494.715
Argentina,ARG,2013,23152.588
Argentina,ARG,2014,22881.006
Argentina,ARG,2015,23046.873
Argentina,ARG,2016,22726.455
Argentina,ARG,2017,22503.818
Argentina,ARG,2018,22163.16
Argentina,ARG,2019,20725.168
Argentina,ARG,2020,19314.066
Argentina,ARG,2021,21328.186
Brazil,BRA,2000,13400.32
Brazil,BRA,2001,12893.828
Brazil,BRA,2002,13021.791
Brazil,BRA,2003,13111.923
Brazil,BRA,2004,13593.7
Brazil,BRA,2005,13792.465
Brazil,BRA,2006,14020.683
Brazil,BRA,2007,14770.351
Brazil,BRA,2008,15255.087
Brazil,BRA,2009,15004.24
Brazil,BRA,2010,16220.931
Brazil,BRA,2011,16629.84
Brazil,BRA,2012,16963.494
Brazil,BRA,2013,17221.44
Brazil,BRA,2014,17519.043
Brazil,BRA,2015,17140.15
Brazil,BRA,2016,16591.764
Brazil,BRA,2017,16608.686
Brazil,BRA,2018,16539.11
Brazil,BRA,2019,16681.945
Brazil,BRA,2020,15921.327
Brazil,BRA,2021,16659.977
China,CHN,2000,9334.936
China,CHN,2001,9797.812
China,CHN,2002,10602.087
China,CHN,2003,12273.32
China,CHN,2004,14272.745
China,CHN,2005,16114.158
China,CHN,2006,17552.816
China,CHN,2007,18955.008
China,CHN,2008,19560.7
China,CHN,2009,20281.068
China,CHN,2010,21551.547
China,CHN,2011,23090.885
China,CHN,2012,23873.234
China,CHN,2013,24600.36
China,CHN,2014,25072.023
China,CHN,2015,25209.49
China,CHN,2016,25164.803
China,CHN,2017,25987.611
China,CHN,2018,27109.42
China,CHN,2019,28277.445
China,CHN,2020,29133.936
China,CHN,2021,30768.826
Egypt,EGY,2000,7965.8477
Egypt,EGY,2001,8143.846
Egypt,EGY,2002,8202.89
Egypt,EGY,2003,8503.993
Egypt,EGY,2004,8798.149
Egypt,EGY,2005,8844.943
Egypt,EGY,2006,9136.145
Egypt,EGY,2007,9542.583
Egypt,EGY,2008,9921.167
Egypt,EGY,2009,10077.901
Egypt,EGY,2010,10258.876
Egypt,EGY,2011,10516.576
Egypt,EGY,2012,10688.419
Egypt,EGY,2013,10368.022
Egypt,EGY,2014,9999.618
Egypt,EGY,2015,9943.54
Egypt,EGY,2016,10278.024
Egypt,EGY,2017,10471.6455
Egypt,EGY,2018,10286.719
Egypt,EGY,2019,9919.544
Egypt,EGY,2020,9153.989
Egypt,EGY,2021,9639.12
India,IND,2000,3518.6821
India,IND,2001,3469.8364
India,IND,2002,3519.7168
India,IND,2003,3583.3396
India,IND,2004,3826.2053
