Color by field,Color by swap,Country,Region,Sector,Top country,Units,Year,Capacity (MW),Capacity GW & Generation TWh,Capacity MW & Generation GWh,Generation (GWh),Number of Records,Report year
Biomass,Sector,Argentina,Americas,Biomass,Other countries,GWh,2010,,0,0,0,1,2011
Coal,Sector,Argentina,Americas,Coal,Other countries,GWh,2010,,1.7739,1773.9,1773.9,1,2011
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2010,,38.20472543,38204.72543,38204.72543,1,2011
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,GWh,2010,,63.5411,63541.1,63541.1,1,2011
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,GWh,2010,,5.8923,5892.3,5892.3,1,2011
Oil,Sector,Argentina,Americas,Oil,Other countries,GWh,2010,,1.15,1150,1150,1,2011
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2010,,1.32127457,1321.27457,1321.27457,1,2011
Solar,Sector,Argentina,Americas,Solar,Other countries,GWh,2010,,0,0,0,1,2011
Wind,Sector,Argentina,Americas,Wind,Other countries,GWh,2010,,0,0,0,1,2011
Biomass,Sector,Argentina,Americas,Biomass,Other countries,MW,2010,0,0,0,,1,2011
Coal,Sector,Argentina,Americas,Coal,Other countries,MW,2010,675,0.675,675,,1,2011
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2010,9248.71,9.24871,9248.71,,1,2011
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,MW,2010,15536,15.536,15536,,1,2011
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,MW,2010,1005,1.005,1005,,1,2011
Oil,Sector,Argentina,Americas,Oil,Other countries,MW,2010,607,0.607,607,,1,2011
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2010,381.29,0.38129,381.29,,1,2011
Solar,Sector,Argentina,Americas,Solar,Other countries,MW,2010,0,0,0,,1,2011
Wind,Sector,Argentina,Americas,Wind,Other countries,MW,2010,37,0.037,37,,1,2011
Biomass,Sector,Argentina,Americas,Biomass,Other countries,GWh,2011,,0,0,0,1,2012
Coal,Sector,Argentina,Americas,Coal,Other countries,GWh,2011,,2,2000,2000,1,2012
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2011,,37.28865965,37288.65965,37288.65965,1,2012
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,GWh,2011,,70.031,70031,70031,1,2012
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,GWh,2011,,5.8923,5892.3,5892.3,1,2012
Oil,Sector,Argentina,Americas,Oil,Other countries,GWh,2011,,1.542,1542,1542,1,2012
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2011,,1.350340352,1350.340352,1350.340352,1,2012
Solar,Sector,Argentina,Americas,Solar,Other countries,GWh,2011,,0.0014,1.4,1.4,1,2012
Wind,Sector,Argentina,Americas,Wind,Other countries,GWh,2011,,0.0117,11.7,11.7,1,2012
Biomass,Sector,Argentina,Americas,Biomass,Other countries,MW,2011,0,0,0,,1,2012
Coal,Sector,Argentina,Americas,Coal,Other countries,MW,2011,675,0.675,675,,1,2012
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2011,9779.71,9.77971,9779.71,,1,2012
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,MW,2011,15988,15.988,15988,,1,2012
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,MW,2011,1005,1.005,1005,,1,2012
Oil,Sector,Argentina,Americas,Oil,Other countries,MW,2011,1131,1.131,1131,,1,2012
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2011,381.29,0.38129,381.29,,1,2012
Solar,Sector,Argentina,Americas,Solar,Other countries,MW,2011,1,0.001,1,,1,2012
Wind,Sector,Argentina,Americas,Wind,Other countries,MW,2011,115,0.115,115,,1,2012
Biomass,Sector,Argentina,Americas,Biomass,Other countries,GWh,2012,,0,0,0,1,2013
Coal,Sector,Argentina,Americas,Coal,Other countries,GWh,2012,,1.933,1933,1933,1,2013
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2012,,34.56445712,34564.45712,34564.45712,1,2013
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,GWh,2012,,78.817,78817,78817,1,2013
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,GWh,2012,,5.9045,5904.5,5904.5,1,2013
Oil,Sector,Argentina,Americas,Oil,Other countries,GWh,2012,,1.745,1745,1745,1,2013
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2012,,1.361542883,1361.542883,1361.542883,1,2013
Solar,Sector,Argentina,Americas,Solar,Other countries,GWh,2012,,0.0079,7.9,7.9,1,2013
Wind,Sector,Argentina,Americas,Wind,Other countries,GWh,2012,,0.3149,314.9,314.9,1,2013
Biomass,Sector,Argentina,Americas,Biomass,Other countries,MW,2012,0,0,0,,1,2013
Coal,Sector,Argentina,Americas,Coal,Other countries,MW,2012,675,0.675,675,,1,2013
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2012,9819.71,9.81971,9819.71,,1,2013
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,MW,2012,17003,17.003,17003,,1,2013
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,MW,2012,1005,1.005,1005,,1,2013
Oil,Sector,Argentina,Americas,Oil,Other countries,MW,2012,1347,1.347,1347,,1,2013
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2012,381.29,0.38129,381.29,,1,2013
Solar,Sector,Argentina,Americas,Solar,Other countries,MW,2012,11,0.011,11,,1,2013
Wind,Sector,Argentina,Americas,Wind,Other countries,MW,2012,121,0.121,121,,1,2013
Biomass,Sector,Argentina,Americas,Biomass,Other countries,GWh,2013,,0.242435489,242.435489,242.435489,1,2014
Coal,Sector,Argentina,Americas,Coal,Other countries,GWh,2013,,2.560027848,2560.027848,2560.027848,1,2014
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2013,,38.39072567,38390.72567,38390.72567,1,2014
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,GWh,2013,,78.54611704,78546.11704,78546.11704,1,2014
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,GWh,2013,,5.7316,5731.6,5731.6,1,2014
Oil,Sector,Argentina,Americas,Oil,Other countries,GWh,2013,,1.219917069,1219.917069,1219.917069,1,2014
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2013,,1.251940474,1251.940474,1251.940474,1,2014
Solar,Sector,Argentina,Americas,Solar,Other countries,GWh,2013,,0.0149,14.9,14.9,1,2014
Wind,Sector,Argentina,Americas,Wind,Other countries,GWh,2013,,0.4465,446.5,446.5,1,2014
Biomass,Sector,Argentina,Americas,Biomass,Other countries,MW,2013,16.6,0.0166,16.6,,1,2014
Coal,Sector,Argentina,Americas,Coal,Other countries,MW,2013,675,0.675,675,,1,2014
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2013,9820.71,9.82071,9820.71,,1,2014
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,MW,2013,17028,17.028,17028,,1,2014
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,MW,2013,1010,1.01,1010,,1,2014
Oil,Sector,Argentina,Americas,Oil,Other countries,MW,2013,1388,1.388,1388,,1,2014
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2013,381.29,0.38129,381.29,,1,2014
Solar,Sector,Argentina,Americas,Solar,Other countries,MW,2013,13,0.013,13,,1,2014
Wind,Sector,Argentina,Americas,Wind,Other countries,MW,2013,197,0.197,197,,1,2014
Biomass,Sector,Argentina,Americas,Biomass,Other countries,GWh,2014,,0.216811229,216.811229,216.811229,1,2015
Coal,Sector,Argentina,Americas,Coal,Other countries,GWh,2014,,2.804222369,2804.222369,2804.222369,1,2015
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2014,,38.45607941,38456.07941,38456.07941,1,2015
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,GWh,2014,,78.67659548,78676.59548,78676.59548,1,2015
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,GWh,2014,,5.2577,5257.7,5257.7,1,2015
Oil,Sector,Argentina,Americas,Oil,Other countries,GWh,2014,,1.232006719,1232.006719,1232.006719,1,2015
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2014,,1.437537699,1437.537699,1437.537699,1,2015
Solar,Sector,Argentina,Americas,Solar,Other countries,GWh,2014,,0.0158,15.8,15.8,1,2015
Wind,Sector,Argentina,Americas,Wind,Other countries,GWh,2014,,0.6133,613.3,613.3,1,2015
Biomass,Sector,Argentina,Americas,Biomass,Other countries,MW,2014,16.6,0.0166,16.6,,1,2015
Coal,Sector,Argentina,Americas,Coal,Other countries,MW,2014,675,0.675,675,,1,2015
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2014,9822.71,9.82271,9822.71,,1,2015
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,MW,2014,17002,17.002,17002,,1,2015
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,MW,2014,1010,1.01,1010,,1,2015
Oil,Sector,Argentina,Americas,Oil,Other countries,MW,2014,1415,1.415,1415,,1,2015
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2014,381.29,0.38129,381.29,,1,2015
Solar,Sector,Argentina,Americas,Solar,Other countries,MW,2014,19,0.019,19,,1,2015
Wind,Sector,Argentina,Americas,Wind,Other countries,MW,2014,197,0.197,197,,1,2015
Biomass,Sector,Argentina,Americas,Biomass,Other countries,GWh,2015,,0.278586662,278.586662,278.586662,1,2016
Coal,Sector,Argentina,Americas,Coal,Other countries,GWh,2015,,2.632874515,2632.874515,2632.874515,1,2016
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2015,,38.98351653,38983.51653,38983.51653,1,2016
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,GWh,2015,,81.93354782,81933.54782,81933.54782,1,2016
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,GWh,2015,,6.519,6519,6519,1,2016
Oil,Sector,Argentina,Americas,Oil,Other countries,GWh,2015,,1.436546906,1436.546906,1436.546906,1,2016
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2015,,1.604995685,1604.995685,1604.995685,1,2016
Solar,Sector,Argentina,Americas,Solar,Other countries,GWh,2015,,0.015,15,15,1,2016
Wind,Sector,Argentina,Americas,Wind,Other countries,GWh,2015,,0.593,593,593,1,2016
Biomass,Sector,Argentina,Americas,Biomass,Other countries,MW,2015,16.6,0.0166,16.6,,1,2016
Coal,Sector,Argentina,Americas,Coal,Other countries,MW,2015,675,0.675,675,,1,2016
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2015,9765.36,9.76536,9765.36,,1,2016
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,MW,2015,17598,17.598,17598,,1,2016
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,MW,2015,1755,1.755,1755,,1,2016
Oil,Sector,Argentina,Americas,Oil,Other countries,MW,2015,1415,1.415,1415,,1,2016
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,MW,2015,438.64,0.43864,438.64,,1,2016
Solar,Sector,Argentina,Americas,Solar,Other countries,MW,2015,19,0.019,19,,1,2016
Wind,Sector,Argentina,Americas,Wind,Other countries,MW,2015,197,0.197,197,,1,2016
Biomass,Sector,Argentina,Americas,Biomass,Other countries,GWh,2016,,0.250727227,250.727227,250.727227,1,2017
Coal,Sector,Argentina,Americas,Coal,Other countries,GWh,2016,,2.287918777,2287.918777,2287.918777,1,2017
Hydroelectric,Sector,Argentina,Americas,Hydroelectric,Other countries,GWh,2016,,35.33636418,35336.36418,35336.36418,1,2017
Natural Gas,Sector,Argentina,Americas,Natural Gas,Other countries,GWh,2016,,85.89566447,85895.66447,85895.66447,1,2017
Nuclear,Sector,Argentina,Americas,Nuclear,Other countries,GWh,2016,,7.67729,7677.29,7677.29,1,2017
Oil,Sector,Argentina,Americas,Oil,Other countries,GWh,2016,,1.899604126,1899.604126,1899.604126,1,2017
